"year","em","month","sector","global_total","units"
2030,"CO2",5,"ENE",1308174.74392269,"kt"
2030,"CO2",6,"ENE",1272533.80680745,"kt"
2030,"CO2",7,"ENE",1327456.78395046,"kt"
2030,"CO2",8,"ENE",1323551.25625754,"kt"
2030,"CO2",9,"ENE",1262483.54795405,"kt"
2030,"CO2",10,"ENE",1313361.64263883,"kt"
2030,"CO2",11,"ENE",1289603.02575496,"kt"
2030,"CO2",12,"ENE",1379876.39547303,"kt"
2030,"CO2",1,"IND",1041905.56324262,"kt"
2030,"CO2",2,"IND",945239.224946183,"kt"
2030,"CO2",3,"IND",993554.092309983,"kt"
2030,"CO2",4,"IND",970425.172457012,"kt"
2030,"CO2",5,"IND",932550.118280525,"kt"
2030,"CO2",6,"IND",885762.892486359,"kt"
2030,"CO2",7,"IND",888807.940295688,"kt"
2030,"CO2",8,"IND",915288.322235905,"kt"
2030,"CO2",9,"IND",876841.680329331,"kt"
2030,"CO2",10,"IND",959030.500220742,"kt"
2030,"CO2",11,"IND",965964.566378498,"kt"
2030,"CO2",12,"IND",1046514.85619042,"kt"
2030,"CO2",1,"TRA",716478.257582996,"kt"
2030,"CO2",2,"TRA",647141.652010448,"kt"
2030,"CO2",3,"TRA",716478.257582996,"kt"
2030,"CO2",4,"TRA",693366.05572548,"kt"
2030,"CO2",5,"TRA",716478.257582996,"kt"
2030,"CO2",6,"TRA",693366.05572548,"kt"
2030,"CO2",7,"TRA",716478.257582996,"kt"
2030,"CO2",8,"TRA",716478.257582996,"kt"
2030,"CO2",9,"TRA",693366.05572548,"kt"
2030,"CO2",10,"TRA",716478.257582996,"kt"
2030,"CO2",11,"TRA",693366.05572548,"kt"
2030,"CO2",12,"TRA",716478.257582996,"kt"
2030,"CO2",1,"RCO",295935.474320494,"kt"
2030,"CO2",2,"RCO",239683.82583682,"kt"
2030,"CO2",3,"RCO",232697.395925078,"kt"
2030,"CO2",4,"RCO",181530.965022763,"kt"
2030,"CO2",5,"RCO",173476.486643126,"kt"
2030,"CO2",6,"RCO",165906.060834906,"kt"
2030,"CO2",7,"RCO",173483.76594759,"kt"
2030,"CO2",8,"RCO",172842.90517742,"kt"
2030,"CO2",9,"RCO",165682.192222947,"kt"
2030,"CO2",10,"RCO",182004.45694156,"kt"
2030,"CO2",11,"RCO",211970.778798609,"kt"
2030,"CO2",12,"RCO",282565.416453949,"kt"
2030,"CO2",1,"SLV",4294.62179911035,"kt"
2030,"CO2",2,"SLV",3879.01323790612,"kt"
2030,"CO2",3,"SLV",4294.62179911035,"kt"
2030,"CO2",4,"SLV",4156.08561204227,"kt"
2030,"CO2",5,"SLV",4294.62179911035,"kt"
